   0.00000000E+00   0.51482002-131   0.00000000E+00
   0.58593750E-02   0.16599586-130   0.00000000E+00
   0.11718750E-01   0.53400470-130   0.00000000E+00
   0.17578125E-01   0.17139529-129   0.00000000E+00
   0.23437500E-01   0.54885629-129   0.00000000E+00
   0.29296875E-01   0.17535752-128   0.00000000E+00
   0.35156250E-01   0.55897981-128   0.00000000E+00
   0.41015625E-01   0.17777629-127   0.00000000E+00
   0.46875000E-01   0.56410184-127   0.00000000E+00
   0.52734375E-01   0.17858591-126   0.00000000E+00
   0.58593750E-01   0.56408276-126   0.00000000E+00
   0.64453125E-01   0.17776426-125   0.00000000E+00
   0.70312500E-01   0.55892310-125   0.00000000E+00
   0.76171875E-01   0.17533380-124   0.00000000E+00
   0.82031250E-01   0.54876347-124   0.00000000E+00
   0.87890625E-01   0.17136051-123   0.00000000E+00
   0.93750000E-01   0.53387828-123   0.00000000E+00
   0.99609375E-01   0.16595095-122   0.00000000E+00
   0.10546875E+00   0.51466333-122   0.00000000E+00
   0.11132812E+00   0.15924752-121   0.00000000E+00
   0.11718750E+00   0.49161838-121   0.00000000E+00
   0.12304688E+00   0.15142219-120   0.00000000E+00
   0.12890625E+00   0.46532557-120   0.00000000E+00
   0.13476562E+00   0.14266922-119   0.00000000E+00
   0.14062500E+00   0.43642501-119   0.00000000E+00
   0.14648438E+00   0.13319716-118   0.00000000E+00
   0.15234375E+00   0.40558909-118   0.00000000E+00
   0.15820312E+00   0.12322067-117   0.00000000E+00
   0.16406250E+00   0.37349674-117   0.00000000E+00
   0.16992188E+00   0.11295255-116   0.00000000E+00
   0.17578125E+00   0.34080917-116   0.00000000E+00
   0.18164062E+00   0.10259648-115   0.00000000E+00
   0.18750000E+00   0.30814821-115   0.00000000E+00
   0.19335938E+00   0.92340625-115   0.00000000E+00
   0.19921875E+00   0.27607809-114   0.00000000E+00
   0.20507812E+00   0.82352552-114   0.00000000E+00
   0.21093750E+00   0.24509145-113   0.00000000E+00
   0.21679688E+00   0.72775505-113   0.00000000E+00
   0.22265625E+00   0.21559976-112   0.00000000E+00
   0.22851562E+00   0.63726096-112   0.00000000E+00
   0.23437500E+00   0.18792836-111   0.00000000E+00
   0.24023438E+00   0.55293402-111   0.00000000E+00
   0.24609375E+00   0.16231561-110   0.00000000E+00
   0.25195312E+00   0.47539348-110   0.00000000E+00
   0.25781250E+00   0.13891596-109   0.00000000E+00
   0.26367188E+00   0.40500189-109   0.00000000E+00
   0.26953125E+00   0.11780614-108   0.00000000E+00
   0.27539062E+00   0.34188874-108   0.00000000E+00
   0.28125000E+00   0.98993717-108   0.00000000E+00
   0.28710938E+00   0.28598052-107   0.00000000E+00
   0.29296875E+00   0.82427333-107   0.00000000E+00
   0.29882812E+00   0.23703475-106   0.00000000E+00
   0.30468750E+00   0.68007808-106   0.00000000E+00
   0.31054688E+00   0.19467560-105   0.00000000E+00
   0.31640625E+00   0.55599416-105   0.00000000E+00
   0.32226562E+00   0.15842909-104   0.00000000E+00
   0.32812500E+00   0.45040747-104   0.00000000E+00
   0.33398438E+00   0.12775627-103   0.00000000E+00
   0.33984375E+00   0.36154709-103   0.00000000E+00
   0.34570312E+00   0.10208301-102   0.00000000E+00
   0.35156250E+00   0.28757297-102   0.00000000E+00
   0.35742188E+00   0.80825541-102   0.00000000E+00
   0.36328125E+00   0.22664971-101   0.00000000E+00
   0.36914062E+00   0.63411450-101   0.00000000E+00
   0.37500000E+00   0.17700527-100   0.00000000E+00
   0.38085938E+00   0.49295885-100   0.00000000E+00
   0.38671875E+00   0.13697494E-99   0.00000000E+00
   0.39257812E+00   0.37973232E-99   0.00000000E+00
   0.39843750E+00   0.10503160E-98   0.00000000E+00
   0.40429688E+00   0.28984671E-98   0.00000000E+00
   0.41015625E+00   0.79803649E-98   0.00000000E+00
   0.41601562E+00   0.21922148E-97   0.00000000E+00
   0.42187500E+00   0.60082699E-97   0.00000000E+00
   0.42773438E+00   0.16429401E-96   0.00000000E+00
   0.43359375E+00   0.44822908E-96   0.00000000E+00
   0.43945312E+00   0.12200687E-95   0.00000000E+00
   0.44531250E+00   0.33134052E-95   0.00000000E+00
   0.45117188E+00   0.89778175E-95   0.00000000E+00
   0.45703125E+00   0.24270179E-94   0.00000000E+00
   0.46289062E+00   0.65460777E-94   0.00000000E+00
   0.46875000E+00   0.17615514E-93   0.00000000E+00
   0.47460938E+00   0.47295025E-93   0.00000000E+00
